상호명,전화번호,주소,평점,리뷰수,홈페이지
압구정사랑이아프니구강악안면외과치과의원,010-2804-0432,서울 강남구 선릉로161길 22 3층,4.5,0,http://4n2.kr
아이디병원치과,02-548-2114,서울 강남구 도산대로 142 아이디빌딩 P-3층,4.9,0,https://www.iddental.co.kr
강남클리어치과의원,02-6952-7528,"서울 강남구 강남대로 406 글라스타워 8층, 17층",,0,https://www.cleardc.co.kr/
에스플란트치과병원,02-512-0700,서울 강남구 도산대로 410 3-8층,3.2,0,http://www.splant.co.kr
하루에치과의원,1544-0208,"서울 강남구 강남대로162길 41-11 하루에치과빌딩 지하1층, 2-3층",3.6,0,https://harue.co.kr/
사랑이아프니구강악안면외과치과의원,02-566-2275,서울 강남구 봉은사로4길 36 운현빌딩 5층,4.6,0,#none
압구정민치과의원,02-547-7708,서울 강남구 언주로 848 화경빌딩 3층,4.2,0,http://www.mindental.co.kr
청담치과의원,02-514-6480,서울 강남구 도산대로 513 양원빌딩 4층,3.7,0,#none
연세퍼스트구강내과치과의원,02-554-2080,서울 강남구 강남대로 354 혜천빌딩 7층 703호,4.4,0,https://www.first-tmj.kr/
파크에비뉴치과의원,02-566-6628,서울 강남구 봉은사로 220 2층,5.0,0,http://parkave.co.kr/
이손치과의원,02-3444-8822,서울 강남구 논현로93길 6,4.2,0,#none
원데이치과 제3관,02-508-2873,서울 강남구 강남대로 442 흥국화재빌딩 8층,,0,https://www.onedaydent.com
바롬치과의원,02-540-2822,서울 강남구 논현로167길 9 낙산프라자 2층,4.4,0,http://www.varomdental.co.kr/
앵글치과의원,02-511-8172,서울 강남구 언주로171길 18,4.3,0,http://angleortho.net/
원데이치과 2관,02-508-2875,서울 강남구 강남대로 438 스타플렉스 13층,,0,http://www.onedaydent.com/
압구정사랑이아프니구강악안면외과치과의원,010-2804-0432,서울 강남구 선릉로161길 22 3층,4.5,0,http://4n2.kr
아이디병원치과,02-548-2114,서울 강남구 도산대로 142 아이디빌딩 P-3층,4.9,0,https://www.iddental.co.kr
강남클리어치과의원,02-6952-7528,"서울 강남구 강남대로 406 글라스타워 8층, 17층",,0,https://www.cleardc.co.kr/
에스플란트치과병원,02-512-0700,서울 강남구 도산대로 410 3-8층,3.2,0,http://www.splant.co.kr
하루에치과의원,1544-0208,"서울 강남구 강남대로162길 41-11 하루에치과빌딩 지하1층, 2-3층",3.6,0,https://harue.co.kr/
사랑이아프니구강악안면외과치과의원,02-566-2275,서울 강남구 봉은사로4길 36 운현빌딩 5층,4.6,0,#none
압구정민치과의원,02-547-7708,서울 강남구 언주로 848 화경빌딩 3층,4.2,0,http://www.mindental.co.kr
청담치과의원,02-514-6480,서울 강남구 도산대로 513 양원빌딩 4층,3.7,0,#none
연세퍼스트구강내과치과의원,02-554-2080,서울 강남구 강남대로 354 혜천빌딩 7층 703호,4.4,0,https://www.first-tmj.kr/
파크에비뉴치과의원,02-566-6628,서울 강남구 봉은사로 220 2층,5.0,0,http://parkave.co.kr/
이손치과의원,02-3444-8822,서울 강남구 논현로93길 6,4.2,0,#none
원데이치과 제3관,02-508-2873,서울 강남구 강남대로 442 흥국화재빌딩 8층,,0,https://www.onedaydent.com
바롬치과의원,02-540-2822,서울 강남구 논현로167길 9 낙산프라자 2층,4.4,0,http://www.varomdental.co.kr/
앵글치과의원,02-511-8172,서울 강남구 언주로171길 18,4.3,0,http://angleortho.net/
원데이치과 2관,02-508-2875,서울 강남구 강남대로 438 스타플렉스 13층,,0,http://www.onedaydent.com/
연세지디치과의원,02-569-9799,서울 강남구 도곡로 115 거암빌딩 401호,5.0,0,#none
베스티안구강악안면외과치과의원,070-7609-9246,서울 강남구 도곡로 317 한티프라자 4층 401호,,0,http://www.yangak.com
서울매스티지치과,02-3446-8275,"서울 강남구 봉은사로 105 동양빌딩 1층,6층",4.6,0,http://www.smdclinic.com
연세정원치과의원,02-501-2879,서울 강남구 도곡로 541 3층,5.0,0,https://jwdental.co.kr/
압구정예치과,02-542-2080,서울 강남구 가로수길 35,0.0,0,http://www.apgujeong.yedental.net/
(의)미래의료재단미래치과의원,02-511-2788,서울 강남구 테헤란로 513 K타워 지하1층,2.7,0,#none
제아치과의원,1644-1974,서울 강남구 강남대로 416 창림빌딩 4층,,0,http://www.zeahdental.com
서울하이안치과의원 강남구청점,02-357-2879,서울 강남구 학동로 335 다른타워 6층,4.0,0,http://www.highanep.co.kr
퍼펙트치과의원,02-544-7728,서울 강남구 테헤란로4길 5 해암빌딩 4층,4.7,0,#none
레브치과의원 강남점,02-6383-2828,서울 강남구 도산대로 138 지하2층,4.6,0,https://www.revedental.com/
CDC어린이치과병원 청담본원,02-515-0926,서울 강남구 학동로97길 11,3.8,0,http://www.childent.com
루시드치과의원,02-6269-2875,"서울 강남구 논현로 606 동도빌딩 3-4층 302,401~402호",4.9,0,https://www.teethlucid.com/
서울치과병원,02-545-7775,"서울 강남구 언주로165길 5 623빌딩 3,4층",2.1,0,http://sdh.co.kr/
메르덴치과의원,02-3453-2875,서울 강남구 삼성로 432 이글빌딩 2층,4.6,0,http://www.메르덴.com/gnuboard4/
강남치유치과의원 역삼점,02-557-2275,서울 강남구 테헤란로 139-1 한중앙빌딩 9층,5.0,0,http://chiudental.co.kr
닥터이지치과의원,02-3444-2875,서울 강남구 논현로 712 동호빌딩 2층,5.0,0,http://www.egy.co.kr/
연세바로치과의원,02-3443-8585,서울 강남구 논현로 873,,0,http://ysbaro.co.kr/
사랑니를부탁해 구강악안면외과치과의원,02-3446-2882,서울 강남구 논현로 830 W빌딩 3층,4.5,0,#none
에버엠치과의원,02-540-8275,서울 강남구 학동로3길 2 에버엠빌딩 1-5층,,0,http://www.everm.net
스타28치과 강남점,02-2052-2814,서울 강남구 강남대로94길 27-11 삼정빌딩 2층,3.7,0,http://www.star28.co.kr
서울스타치과의원,02-6203-1212,서울 강남구 도곡로 319 EH타워 1층,4.4,0,https://서울스타치과.com
내소구강악안면외과치과의원,02-512-3318,"서울 강남구 봉은사로 434 석수빌딩 5, 6층",4.6,0,http://gnatho.co.kr
연세유라인치과의원,1522-9128,서울 강남구 강남대로 390 미진프라자 17층,,0,https://www.ulineclinic.com/
임플라인치과의원 강남본점,02-538-2879,서울 강남구 테헤란로87길 33 융전빌딩 2층,4.4,0,http://www.implinegn.com/
유수장치과의원,02-514-7635,서울 강남구 선릉로161길 24 Y&B찬화빌딩 5층,4.0,0,#none
그린몰치과의원,02-548-2833,서울 강남구 도산대로1길 13 ICT타워 1층,4.3,0,https://litt.ly/greenmalldental
위즈치과의원,02-3448-5588,서울 강남구 강남대로 546 삼양빌딩 3층,3.7,0,http://www.clinicwiz.co.kr
서울동민치과의원,02-579-2875,서울 강남구 도곡로 449,4.3,0,#none
바노바기일레븐치과의원,02-562-2522,"서울 강남구 논현로 521-3 2,3층",,0,https://booking.naver.com/booking/13/bizes/132791
닥터홍치과,02-545-0038,서울 강남구 삼성로 754 제이앤케이빌딩 3층 302호,,0,https://blog.naver.com/smiledzyner
포도나무치과의원,02-566-2384,서울 강남구 역삼로 403 3층,5.0,0,#none
유앤아이치과의원 압구정,02-6204-2275,서울 강남구 논현로167길 19 남도빌딩 6층,,0,https://unident.imweb.me
서울페이스21치과병원,02-556-2021,서울 강남구 강남대로 390 미진프라자 21층,,0,https://seoulface21.com
젊어지는치과의원,0503-7152-9422,서울 강남구 언주로30길 10 현대비전21 3층 301호,,0,#none
이스트만치과교정과치과의원,02-517-2833,서울 강남구 압구정로 168 5층,3.0,0,http://www.ieastman.com/
화이트스타일치과의원,02-569-7528,"서울 강남구 강남대로92길 17 대승빌딩 1, 2층",5.0,0,http://whitestyle.com
킹콩치과의원,1566-2879,서울 강남구 강남대로 390 미진프라자 19층,4.0,0,http://www.kingkongdc.com
스마일디치과의원,02-512-2085,서울 강남구 강남대로 624 ICT타워 13층,,0,http://smiled.co.kr/
미소드림치과의원,02-565-2812,서울 강남구 강남대로 442 흥국생명빌딩 6층,4.6,0,http://www.misodrim.co.kr
고범연엑스오치과교정과치과의원,02-564-2858,서울 강남구 남부순환로 2947 4층,3.5,0,http://www.koh-ortho.com
웃는내일치과교정과치과의원,02-2051-2828,서울 강남구 남부순환로 2909 여천빌딩 3층,4.6,0,https://www.smilefuture.com/
루이빈치과의원,02-543-0220,서울 강남구 압구정로34길 11 307~308호,,0,https://www.facebook.com/louivin
오알프치과의원,02-515-7779,서울 강남구 선릉로157길 6 3층,5.0,0,#none
이유구강악안면외과치과의원,02-547-0101,서울 강남구 도산대로 108 렉스타워빌딩 2층,4.2,0,http://eudental.co.kr
역삼365치과의원,02-2138-3654,서울 강남구 논현로86길 21 대한사회복지회 1층,4.3,0,#none
스카이치과의원,02-3452-2828,서울 강남구 테헤란로26길 10 성보빌딩 3층,3.5,0,https://blog.naver.com/dltjddms67
가우디치과의원,02-1566-7426,서울 강남구 테헤란로 520 삼안빌딩 4층,5.0,0,#none
르치과의원,02-557-7582,서울 강남구 봉은사로 108 9층,5.0,0,https://ledentals.com
조성용치과의원,02-578-2275,서울 강남구 논현로 98 문화빌딩 2층 1호,5.0,0,#none
청아치과의원,02-2051-2885,서울 강남구 논현로 503 송촌빌딩 6층,5.0,0,http://www.globalchonga.com
서울턱튼튼구강내과치과의원,02-6207-2879,서울 강남구 선릉로 425 금원빌딩 2층,4.7,0,https://www.healthyjawclinic.co.kr/
연세굿데이치과의원 수서점,02-6181-3800,서울 강남구 광평로 281 수서오피스빌딩 2층,4.7,0,https://www.gooddaysmile.com
닥터허치과의원,1688-2114,서울 강남구 영동대로 701 W타워 5층,5.0,0,http://www.drheodental.com
압구정연치과의원,02-514-4308,서울 강남구 논현로 867 한승빌딩 2층,3.3,0,http://yon.co.kr
이지치과의원,02-546-5426,서울 강남구 압구정로36길 54 2층,3.0,0,http://www.ezdent.co.kr/
양치과의원,02-508-0086,서울 강남구 역삼로 124 청보빌딩 2층,3.3,0,#none
아림치과병원,02-554-1975,서울 강남구 테헤란로87길 13 서영빌딩 15-16층,,0,#none
에버스마일치과교정과치과의원,02-2051-2275,서울 강남구 강남대로 430 ABC마트빌딩 5층,4.4,0,http://ever-smile.kr
자기치아살리기삼성플란트치과의원,02-569-2278,서울 강남구 테헤란로 532 2층 201호,4.2,0,https://savingmyteeth.com/
서울위드치과의원,02-3472-7528,서울 강남구 강남대로 376 강남8258빌딩 10층,4.4,0,http://www.withden.com
이믿음치과,02-2051-7333,서울 강남구 테헤란로 216 신웅빌딩 3층 301호,3.9,0,http://etrustdental.com/
포샤르플란트치과의원,1899-8343,서울 강남구 봉은사로 116,5.0,0,http://www.fauchardplant.com
스마일스튜디오치과의원,02-542-2282,"서울 강남구 학동로3길 2 접수 지하1층, 6층",4.8,0,https://smilestudioseoul.com/
더스타치과의원,02-3444-8886,서울 강남구 도산대로 108 렉스타워빌딩 11층,3.8,0,https://www.youtube.com/@thestar_dental
서울샤인치과,02-3445-2275,서울 강남구 학동로 433 씨엔씨빌딩 2층,5.0,0,http://www.seoulshine.com/
박치과의원,02-558-1990,서울 강남구 도곡로 190 서원빌딩 3층,5.0,0,#none
바르고 튼튼한어린이치과의원,02-515-2032,서울 강남구 선릉로162길 39 4층,5.0,0,http://www.bntdentist.com
엠치과의원,02-511-5052,서울 강남구 논현로28길 43 5층,5.0,0,#none
디퍼스트치과의원,02-6203-8777,서울 강남구 선릉로 817 캠포츠빌딩 3층,4.5,0,http://dfirst.kr
원진치과의원,02-3476-2879,서울 강남구 강남대로 390 미진프라자 13층,4.9,0,https://pf.kakao.com/_xnFIMxl
스마일블로썸치과의원,0507-1396-2119,서울 강남구 선릉로94길 12 세웅타워 11층,4.6,0,#none
하나로치과의원,02-563-5435,서울 강남구 봉은사로114길 32 우남빌딩 3층,4.6,0,http://www.hanarodent.com
옥스치과의원,02-555-6633,서울 강남구 테헤란로 105 강남A타워 7층,4.3,0,http://www.oaksdental.kr/
서울보임치과의원,02-6402-2275,서울 강남구 선릉로 718 화일빌딩 1층,0.0,0,http://boimdent.com/
리페이스치과병원,02-6204-1004,서울 강남구 도산대로 138 피프티원빌딩 13층,0.0,0,#none
강남연세치과의원,02-571-2828,서울 강남구 선릉로 30 개포빌딩 2층 2호,3.7,0,#none
UC강남치과의원,02-3448-4524,서울 강남구 봉은사로 209 JCS타워 4~6층,,0,http://ucgangnam.com/
유앤아이아덴스치과의원,02-541-8471,서울 강남구 논현로161길 10 3층,0.0,0,https://blog.naver.com/implant1king
강남이플러스치과의원,02-538-2275,서울 강남구 테헤란로 411 5층,2.5,0,#none
미켈란치과의원,1566-7450,서울 강남구 강남대로 382 지하1층,,0,http://kn.michelandental.co.kr/new/
강남푸른치과의원,02-561-2804,서울 강남구 논현로 428 정진빌딩 2층,,0,http://purundental.net
세라믹치과의원,02-517-0002,서울 강남구 학동로 207 K스퀘어빌딩 3층,,0,http://www.ceramicdental.co.kr
이석형치과의원,02-3411-7988,"서울 강남구 일원로 53 소림빌딩 5,6층",4.2,0,#none
더블유와이치과의원,02-511-1234,서울 강남구 선릉로 805 W빌딩 2층,4.3,0,http://www.wydent.com
강남사랑니치과의원,02-556-2879,서울 강남구 선릉로 514 성원타워 지하1층 B123-2호,5.0,0,http://강남사랑니.com
루체치과의원,02-549-2500,서울 강남구 도산대로49길 10 3-4층,0.0,0,http://www.lucedent.co.kr
강남365치과의원,02-451-2804,"서울 강남구 자곡로 201 강남 더샵 라르고 상가 206, 207, 209호",4.9,0,http://www.gangnam365.co.kr
큐원치과의원,02-561-0002,서울 강남구 논현로 503 송촌빌딩 10층,4.4,0,http://plusqone.com
김종삼치과의원,02-556-3204,서울 강남구 도곡로 181,4.7,0,#none
연세꿈꾸는치과의원,02-572-2879,서울 강남구 영동대로3길 17 개포자이스퀘어 305~307호,5.0,0,http://blog.naver.com/yonseidreamdental
뉴연세치과의원,02-508-7528,서울 강남구 테헤란로78길 8 현빌딩 3층,,0,https://naver.me/GaldnPE6
강남심미치과보철과치과의원,02-546-2804,서울 강남구 도곡로51길 4 역삼프라자 3층,5.0,0,https://blog.naver.com/gnsimmi
샬롬치과의원,02-556-9938,서울 강남구 테헤란로25길 6-9 2층,4.0,0,#none
자곡서울치과의원,02-459-2872,"서울 강남구 자곡로 114 서강플라자 3층 301,302,305-1호",4.1,0,http://jsdental.co.kr
미소랑치과의원 강남점,02-573-7528,서울 강남구 강남대로 250 심현빌딩 6층,4.3,0,http://gangnam.misorang.co.kr/
연세바른치과의원,02-574-5143,서울 강남구 개포로22길 6 광혜빌딩 2층,4.5,0,http://www.ysbr.kr
청담닥터리치과의원,02-566-3428,서울 강남구 도산대로89길 23 김앤리빌딩 2층,5.0,0,http://chdamlee.co.kr
삼성연세고운미소치과의원,02-554-7528,서울 강남구 테헤란로 528 슈페리어타워 7층,,0,http://www.samsung-miso.com
수치과병원,02-512-7528,서울 강남구 선릉로 823 한양타운 3층,,0,http://smilesudental.com/
오리엔탈치과의원,02-566-1550,서울 강남구 선릉로64길 20 시그마빌딩 5층,3.8,0,http://www.orientaldental.co.kr
더페이스치과의원,02-515-3114,서울 강남구 논현로 840 4층,0.0,0,http://www.thefacedental.co.kr
압구정오라클치과의원,02-3443-7977,서울 강남구 압구정로30길 23 미승빌딩 1층,4.3,0,http://www.oraclesmile.co.kr
웰스치과의원 개포도곡점,02-529-7528,서울 강남구 선릉로 34 7층,5.0,0,http://gpwells.com
푸른나무치과 강남점,02-538-0616,서울 강남구 테헤란로 109 강남제일빌딩 6층,3.6,0,http://greendent.co.kr/
강남숙면치과의원,02-512-0204,서울 강남구 압구정로 324 3층,,0,http://강남숙면치과.com
수플란트치과병원,02-514-2275,서울 강남구 선릉로 823 한양타운빌딩 3층,4.9,0,http://www.suplant.com
캘리포니아미형치과의원,02-555-6610,서울 강남구 선릉로 513 Apex Tower 6층,5.0,0,#none
고운얼굴치과의원,02-536-2727,서울 강남구 테헤란로 328 동우빌딩 7층,4.5,0,http://www.goodfacedental.com
양성익치과의원,02-545-1964,서울 강남구 언주로 714 성보빌딩 501호,5.0,0,#none
서울미르치과,02-511-2870,서울 강남구 봉은사로 331 SH타워 4층,4.5,0,#none
강남샘치과의원,02-3473-8030,서울 강남구 강남대로 242 크리스탈빌딩 5층,4.8,0,http://www.gsdent.co.kr/
연세재신치과의원,02-6203-2828,서울 강남구 일원로 41 2층,4.6,0,http://www.yonseijs.kr/
줌구강악안면외과치과의원,02-507-0700,서울 강남구 논현로 857 A857빌딩 601호,4.5,0,http://www.thebestoms.com/
이살리는치과의원 선릉역점,0507-1380-2854,서울 강남구 선릉로93길 22 2층,5.0,0,https://seolleung.save-teeth.co.kr/
오리건치과교정과치과의원,02-2187-7028,서울 강남구 언주로30길 13 대림아크로타운 C동 22층 2212호,,0,http://dentaloregon.com/
구정치과,02-548-2875,서울 강남구 논현로 842 압구정 빌딩 3층,4.2,0,#none
스마일라인치과의원,02-3447-0028,서울 강남구 논현로 604 태성빌딩 4층,4.1,0,#none
엘투치과의원,02-6273-2828,서울 강남구 봉은사로 469 S타워 4층,,0,http://www.chika.tv
서울리더스치과의원,02-568-3410,서울 강남구 언주로 508 서울상록회관 1층,,0,#none
새서울치과의원,02-543-9933,서울 강남구 논현로 838 3층,4.3,0,#none
청담이사랑치과,02-517-8275,서울 강남구 삼성로 766,5.0,0,#none
스마일뷰치과의원,02-552-7528,서울 강남구 봉은사로 107 15층,5.0,0,http://www.smile-vdental.com/
신사이사랑치과,02-543-2585,서울 강남구 논현로 607 신양빌딩 3층,4.5,0,http://www.2love.co.kr
선릉필의원,02-538-2875,서울 강남구 선릉로 524,0.0,0,#none
서울나무치과의원,02-2274-1175,서울 강남구 선릉로90길 10 샹제리제센터 B동 지하2층 202호,,0,https://seoulnamu.com
서울예우치과의원,02-516-2833,서울 강남구 삼성로133길 8 영빌딩 3층,0.0,0,https://blog.naver.com/implant_song
양윤돌구강악안면외과치과의원,02-511-5773,서울 강남구 도산대로 134 지하1층,5.0,0,http://www.2yd.co.kr/
스마일존치과의원 강남점,02-549-2833,서울 강남구 테헤란로 121 원빌딩 7층,5.0,0,http://www.saoc.co.kr
아미치과의원,02-562-2804,서울 강남구 언주로 325,5.0,0,#none
세라치과의원,02-540-0017,서울 강남구 봉은사로 457 S&C TOWER 타워 L층,4.5,0,http://ceradento.com/
드림치과의원,02-3448-0028,서울 강남구 논현로 841 제이비 미소빌딩 2층 211호,4.5,0,http://www.dreamsmile.co.kr
허정민치과교정과치과의원,02-564-2885,서울 강남구 봉은사로 220 PSP타워 3층,4.8,0,https://blog.naver.com/heo2885
더푸른치과의원,02-538-1008,서울 강남구 선릉로 517 비전빌딩 5층,4.6,0,https://www.purundental.co.kr
청담성모치과의원,02-3443-0042,서울 강남구 삼성로 767,4.0,0,#none
네모치과의원 선릉점,02-564-5956,서울 강남구 선릉로90길 10 샹제리제센터 로비층 202-1호,,0,http://www.nemodent.com
파스텔치과의원,02-594-2080,서울 강남구 학동로4길 15 동화상가 2층 207호,0.0,0,http://endodontics.co.kr
연세티스치과의원,02-557-7528,서울 강남구 강남대로66길 6 4층,5.0,0,#none
강남물방울치과,02-3288-4422,서울 강남구 삼성로 548 시소모타워 5층,4.3,0,http://www.waterdental.com
오에프피구강내과치과의원,02-555-6668,서울 강남구 논현로 425 마이다스빌딩 4층 402호,2.0,0,https://www.ofpdental.com/
덴티크치과의원,02-6953-2828,서울 강남구 논현로111길 3 휴먼스페이스주상복합아파트 101호,4.2,0,#none
김준엽치과의원,02-543-8252,서울 강남구 언주로 846 글로벌메디컬빌딩 5층,,0,http://blog.naver.com/vegandentist
투디치과의원,0507-1417-2301,서울 강남구 강남대로 470 808타워 8층,4.8,0,https://2d2d.co.kr/landing1/
가나가와치과의원,02-578-2759,서울 강남구 강남대로 246 다림빌딩 6층,3.7,0,http://www.kdcpark.com
연세고운미소치과 양재점,02-577-2804,서울 강남구 강남대로 238 스카이쏠라빌딩 5층,5.0,0,http://www.misosmile.com/branch/b_yangjae/sub01.html
서울바른마음치과의원,02-6951-2873,서울 강남구 영동대로112길 9 제일빌딩 2층 1호,5.0,0,#none
이스타치과의원,02-578-2833,서울 강남구 논현로 90 보성빌딩 4층,4.3,0,https://www.instagram.com/estar_dental_clinic
유디치과의원 학동점,02-545-0047,서울 강남구 논현로 648 HL클리닉빌딩 2층,4.5,0,http://www.udh.co.kr
현미경치과의원,02-529-2879,서울 강남구 선릉로 32 영동농협개포지소 2층 202호,4.7,0,https://blog.naver.com/microdental
연세바른마음치과의원,02-516-2875,서울 강남구 학동로 331 2층,5.0,0,http://pcmap.place.naver.com/hospital/21672701/home
강남브엘치과의원,02-566-2879,서울 강남구 봉은사로 111 8층,5.0,0,http://beersheba.kr
롱라이프치과의원,02-542-2804,서울 강남구 선릉로 610 성림빌딩 2층 201호,5.0,0,#none
베리타스치과의원,02-558-5584,서울 강남구 삼성로 306 아이비타워 2층,5.0,0,#none
연세여우치과의원 강남대치점,02-569-2879,서울 강남구 도곡로 408 디마크빌딩 2층,3.1,0,http://www.smileworld.co.kr
수치과의원,02-555-2722,서울 강남구 선릉로 826 메종빌딩 3층,4.4,0,http://www.esmileworld.com
컴플란트치과의원,1600-2872,서울 강남구 남부순환로 2609 하늘빌딩 3층,5.0,0,#none
라미치과의원,02-3447-2828,서울 강남구 압구정로 334 3층 304호,4.0,0,http://www.lami.co.kr
청담클린치과의원,02-6223-2828,서울 강남구 삼성로 651 래미안라클래시 4층 402호,5.0,0,#none
닥터유치과의원,02-544-2804,서울 강남구 학동로 221 예진빌딩 2층,5.0,0,http://blog.naver.com/dr_you_dean
바른정치과의원,02-445-7528,"서울 강남구 헌릉로590길 11 203, 204호",0.0,0,#none
런던치과의원,02-539-2877,서울 강남구 테헤란로 121 원빌딩 5층,4.0,0,#none
세곡연세미치과의원,02-451-2877,"서울 강남구 헌릉로 569 강남리더스프라자 3층 302, 401호",3.0,0,#none
한순기치과의원,02-508-1179,서울 강남구 테헤란로87길 57 7층,5.0,0,#none
성미치과의원,02-545-2512,서울 강남구 언주로167길 38 2층,4.9,0,#none
뉴욕연세치과,02-558-2829,서울 강남구 강남대로 378 JUN빌딩 3층,4.2,0,http://www.nywhite.co.kr
서울티에스치과의원,02-571-2804,서울 강남구 남부순환로365길 22 오이빌딩 4층,4.3,0,https://blog.naver.com/ch1074
바른웅치과의원,02-3444-2871,서울 강남구 논현로175길 101 송우빌딩 2층,,0,http://www.woongchi.com
독일미치과의원,02-511-2875,서울 강남구 압구정로36길 12 메디컬뱅크 2층 201호,4.1,0,http://www.toothlove.co.kr
도고치과의원,02-514-7787,서울 강남구 봉은사로 533 윤곡빌딩 4층,4.0,0,http://dogodental.com
건강한세상 앞선치과병원,02-2016-7528,서울 강남구 테헤란로87길 36 도심공항타워 3층,4.4,0,http://www.apsundental.com
청담유펜치과의원,02-546-7380,서울 강남구 영동대로138길 15 우노빌딩 1층 103호,4.6,0,http://blog.naver.com/cdupenn
W스타일치과 강남점,02-518-7528,서울 강남구 강남대로 526 EO미사랑빌딩 3~5층,3.7,0,http://wstyle.kr
바른삼성치과의원,02-3412-2275,서울 강남구 양재대로55길 7 2층,4.8,0,http://www.barunsamsung.co.kr
서울더블유치과의원,02-516-1831,서울 강남구 도곡로 458 2층,5.0,0,#none
이인환치과의원,02-566-7552,서울 강남구 역삼로 406,5.0,0,#none
뉴라인치과의원,02-511-2275,서울 강남구 가로수길 14 다모빌딩 4층,,0,http://newlinedc.co.kr
헵시바치과의원,02-565-9075,서울 강남구 논현로 509 송암빌딩 11층,5.0,0,http://www.hsbdent.co.kr
에투알드서울치과의원,1577-3036,서울 강남구 선릉로 820 남한강빌딩 3층,4.9,0,http://www.e2rs.co.kr
코리아치과의원,02-564-2879,서울 강남구 영동대로 215 지하1층 11호,,0,http://www.koreadental.co.kr/
바른이만들기치과 교정과치과의원,02-3454-0099,서울 강남구 선릉로64길 9 대성빌딩 4층,,0,http://www.wemakeusmile.co.kr
뉴욕화이트치과의원,02-565-2875,서울 강남구 테헤란로 327 빅토리아빌딩 3층 302호,,0,http://www.newyorkwhite.com/landing/index.asp
나무정원치과의원,02-6949-2872,서울 강남구 선릉로 309-1 더 스톤 한티빌딩 5층,5.0,0,#none
에피파니치과의원,02-3444-8575,"서울 강남구 도산대로 206 진성빌딩 2,3층",5.0,0,#none
세시간치과의원,010-9598-7841,서울 강남구 학동로 215 씨엘타워 8층,5.0,0,http://threehours.co.kr/
강남베스트덴치과의원,02-554-0170,서울 강남구 테헤란로 110 캠브리지빌딩 4층,4.0,0,#none
서울씨엘치과의원,02-501-0027,서울 강남구 테헤란로78길 16 노벨빌딩 2층,4.6,0,http://www.seoulcl.com
다른치과의원,02-3446-2080,서울 강남구 강남대로 652 신사스퀘어 1층 104-2호,4.6,0,http://darundental.com/
믿을신치과의원,02-3442-0119,서울 강남구 삼성로 715 재동빌딩 6층,5.0,0,#none
청담라인치과의원,02-3446-4646,서울 강남구 학동로 433 청담서울클리닉 7층,5.0,0,https://www.cldental.co.kr
디데이치과의원,02-568-2877,서울 강남구 테헤란로 337 화남타워 10층,4.8,0,http://www.ddaydent.co.kr/
블루밍치과의원,02-514-2875,서울 강남구 삼성로 772 로데오프라자 5층 502호,,0,http://www.bloom-dh.com/
보아치과의원,02-6925-0033,서울 강남구 테헤란로 107 메디타워 4층,,0,https://boaclinic.com/
조기영치과의원,02-563-7753,서울 강남구 도곡로 532 태안빌딩 2층 203호,3.7,0,#none
신사이살리는치과의원,070-7174-2882,서울 강남구 도산대로 123 삼화빌딩 4층,5.0,0,https://www.instagram.com/saveteeth_minish/
서울클리어치과교정과치과의원 압구정점,02-542-2809,서울 강남구 논현로 837 6층,5.0,0,http://seoulclear-ap.com/
서울민치과,02-3442-1232,서울 강남구 강남대로 596 극동빌딩 4층 402호,4.2,0,http://blog.naver.com/snumindental
정연치과의원,02-6212-2800,서울 강남구 압구정로 336 205호,5.0,0,#none
강남미라인치과의원,02-1577-2804,서울 강남구 학동로6길 48 3층,4.4,0,#none
루시아치과,02-515-7177,서울 강남구 학동로 342 SK허브블루 4층,4.5,0,http://www.luciadent.com
예그린치과,02-554-2866,서울 강남구 도곡로 189 정금빌딩 3층,0.0,0,http://www.yegreendental.co.kr/
곽정원현미경치과의원,02-563-2828,서울 강남구 테헤란로 421 양천BLDG 4층 401호,5.0,0,http://blog.naver.com/gardenkwak
청담미치과의원,02-545-6783,"서울 강남구 봉은사로 471 삼성동힐스테이트2단지 상가동 302,303호",,0,http://www.chiaclinic.com
ATA치과의원,02-568-2875,서울 강남구 강남대로 406 글라스타워 10층,3.4,0,http://www.atadental.net/
강남세브란스병원 구강악안면외과,1599-6114,서울 강남구 언주로 211 1동 3층,0.0,0,https://gs.severance.healthcare
디아트치과의원,02-544-6152,서울 강남구 압구정로2길 62 대성빌딩 2층,5.0,0,http://www.dartclinic.com
이스턴치과의원,02-553-2804,서울 강남구 언주로 321 광진빌딩 4층,0.0,0,#none
서울필치과의원,02-3468-4848,서울 강남구 테헤란로 410 금강타워 4층 401호,4.7,0,http://seoul-phil.com
연세닥터연치과의원,02-549-2227,서울 강남구 논현로 872 영빌딩 2층,5.0,0,http://www.2227.co.kr
청담뷰치과의원,02-518-2828,서울 강남구 선릉로 669 상경빌딩 5층,2.3,0,http://www.viewdent.com
오리진치과의원,02-567-7007,서울 강남구 강남대로84길 8 우인빌딩 5층,,0,http://origindental.kr
연세엘치과의원,02-3446-2975,서울 강남구 학동로 419 3층,5.0,0,#none
사랑의치과,02-512-2888,서울 강남구 강남대로 502 에임하이타워 5층,4.3,0,http://www.sarangdental.co.kr
