상호명,전화번호,주소
서울대학교 관악캠퍼스 관악서울대학교병원,02-6256-3900,서울 관악구 관악로 1 86동
관악이웃치과의원,02-882-2879,서울 관악구 남부순환로 1649 6층
서울리멤버치과의원,02-884-2080,서울 관악구 남부순환로 1830 송백빌딩 5층
서울정직한치과의원,02-877-8382,서울 관악구 남부순환로 1892 청강빌딩 3층
서울리뉴치과의원,02-888-0053,서울 관악구 관악로 184 2.3층
사과나무치과의원,02-883-2754,서울 관악구 낙성대로 8
서울키즈플러스치과,02-879-2175,서울 관악구 관악로 200 양지하이슈타트 4층
서울열린치과의원,02-6265-7528,서울 관악구 남부순환로 1603 2층
행운치과의원,02-878-1357,서울 관악구 남부순환로 1935 한국해양소년단연맹 2층
박경준치과의원,02-887-4453,서울 관악구 남부순환로 1844 201호
바른이고른이치과의원,02-873-2080,서울 관악구 남부순환로 1607 2-3층
관악본치과의원,02-853-2874,서울 관악구 난곡로 181 성수빌딩 3층
연세유라인치과의원 신림점,02-889-2822,서울 관악구 신림로 340 르네상스쇼핑몰 8층
예미담치과의원,02-888-2275,서울 관악구 대학길 31 2층
플란트인치과의원,02-6953-2875,서울 관악구 시흥대로 578 광안빌딩 5층
서울하이안치과 사당점,02-525-2872,서울 관악구 남현길 7 한얼메디프라자 5층
연세더바른치과의원,02-877-2875,서울 관악구 보라매로 2 2층
우정치과의원,02-888-2811,서울 관악구 남부순환로 1845 2층 202호
연세공감치과의원,02-6275-2275,서울 관악구 신림로 315 4층
관악연세공감치과의원,02-876-3456,서울 관악구 남부순환로 1832 6층
보라매정다운치과의원,02-875-2879,서울 관악구 보라매로 25 칸타빌레7차 2층 201호
에이스치과의원,02-883-8828,서울 관악구 남부순환로 1618
마일스톤즈치과의원,02-568-0280,"서울 관악구 낙성대로 30 2, 3층"
해온미소치과의원,02-6268-2875,서울 관악구 남부순환로 1471 2층
원스치과교정과치과의원,02-6447-2875,"서울 관악구 시흥대로 558-1 4층 401,405,406호"
메디덴트구강내과치과의원,02-874-8029,서울 관악구 남부순환로 1715 2층
유디치과의원 신림점,02-877-8300,서울 관악구 남부순환로 1631 대현빌딩 2층
올리브나무치과의원,02-888-4275,서울 관악구 관악로 234 2층
아너스치과교정과치과의원,02-883-0075,"서울 관악구 관악로 164 대우디오슈페리움1단지 101,102호"
송치과의원,02-887-8269,서울 관악구 신림로 141 4층
365탑치과의원,02-588-2879,서울 관악구 남부순환로 2082-25 3층
그랑교정치과,02-6279-2828,"서울 관악구 남부순환로 1817 Q타워 3층 302, 303호"
더나은치과의원,02-875-2004,서울 관악구 남부순환로 1730 청운빌딩 2층
관악퍼스트치과의원,02-875-2080,서울 관악구 남부순환로 1740 명당빌딩 2층 202호
고세훈치과의원,02-878-5243,서울 관악구 은천로 110 WS타워 4층
유디치과의원 사당점,02-598-6300,서울 관악구 남부순환로 2082-33 성광빌딩 7층
서울삼성치과의원,02-883-7528,서울 관악구 남부순환로 1942
서울정다움치과의원,02-867-2879,"서울 관악구 법원단지길 12 2,3층"
오치과의원,02-889-8312,서울 관악구 신림로 131
서울S치과의원,02-3285-2275,서울 관악구 은천로 101 3층
서울연세미치과의원,02-853-7292,서울 관악구 난곡로35나길 21 2층
관악소아치과의원,02-6274-2875,서울 관악구 관악로 195 관악위버폴리스 B동 4층 412호
센트럴치과,02-865-8215,서울 관악구 난곡로 316 진성타워 4층
이너스치과의원,02-888-2875,서울 관악구 남부순환로 1710 이너스빌딩 2층
양지치과의원,02-887-7522,서울 관악구 남부순환로 1646 3층
조이치과의원,02-877-2811,서울 관악구 남부순환로 1738 제형빌딩 5층
김서랑치과의원,02-878-4152,서울 관악구 신림로 317 2층
고운미소치과의원 관악점,02-887-2119,서울 관악구 관악로 165 홍빌딩 3층
즐거운치과의원,02-879-2804,서울 관악구 인헌6길 21 신풍빌딩 2층
서울하이안치과의원 신대방점,02-858-2879,서울 관악구 난곡로 368 송암빌딩 3층
미치과의원,02-886-8275,서울 관악구 신림로 158 영광메디컬빌딩 6층
명경치과의원,02-888-7372,서울 관악구 신림로 340 르네상스빌딩 13층
서울준치과,02-888-7528,서울 관악구 관악로30길 17 3층
유치과의원,02-872-2828,서울 관악구 남부순환로 1938 성은빌딩 4층 401호
서울이편한치과의원,02-6294-2875,서울 관악구 청룡10길 34 202~204호
NY치과의원,02-867-7528,서울 관악구 난곡로 226 레이크메디칼빌딩 3층
서울호치과의원,02-882-2822,서울 관악구 보라매로 4 2층
믿음치과의원,02-585-1488,서울 관악구 남부순환로 2082-37 유원빌딩 601호
연세 윤치과의원,02-830-0220,서울 관악구 조원로16길 34
삼성현치과의원,02-873-2878,서울 관악구 은천로 97 공원빌딩 7층
우리들치과의원,02-3285-5001,서울 관악구 호암로 399 107호
여디디야치과교정과치과의원,02-878-0275,서울 관악구 남부순환로 1848 4층
필치과,02-3285-2882,서울 관악구 은천로 95
성심치과의원,02-882-2922,서울 관악구 봉천로 615
서울오늘플란트치과의원,02-6013-2879,서울 관악구 남부순환로 1619 영일빌딩 6층
스마트올치과의원,02-6956-2852,서울 관악구 시흥대로 570 4층
예인치과,02-871-2123,서울 관악구 신림로 169 401호
리뉴치과교정과치과의원,02-888-0050,서울 관악구 관악로 183 2-3층
함박웃음치과의원,02-888-2820,서울 관악구 남부순환로 1820 에그옐로우 6층 7~9호
단단플란트치과의원,02-6328-2828,서울 관악구 남부순환로 2064 6층
서울하얀치과의원,02-871-2888,서울 관악구 신림로 326 3층
포근한치과의원,02-6297-2875,서울 관악구 남부순환로 1600 하버드빌딩 4층
연세미소인치과의원,02-6959-0386,서울 관악구 남부순환로 1912 운차빌딩 2층
연세고운미소치과의원 서울대입구점,02-875-7522,서울 관악구 관악로 164 대우디오슈페리움 1단지 3층 308~310호
서울대학교직장부속치과의원,02-880-5338,서울 관악구 관악로 1
초이스플란트치과의원,02-3474-2882,서울 관악구 신림로 351 동산빌딩 3층
언제나이든치과의원,02-866-6898,서울 관악구 난곡로 210 3층
서울나란이치과,02-889-2191,서울 관악구 남부순환로 1801 벽송빌딩 3층
미소랑치과 서울대입구역점,02-882-2828,서울 관악구 관악로 158 BS타워 4층
오케이치과의원,02-877-2879,서울 관악구 남부순환로 1731 자애빌딩 4층
평화치과의원,02-872-2875,서울 관악구 남부순환로 1837 서호빌딩 6층
예쁜미소가지런이 서울치과의원,02-6104-2875,서울 관악구 남부순환로 1597 대영빌딩 5층
오플란트치과의원 서울대입구역점,02-878-2808,서울 관악구 관악로 199 상준빌딩 4층
강훈치과의원,02-888-8825,서울 관악구 관악로 203 엔젤빌딩 4층 401호
믿음준치과의원,02-885-2080,서울 관악구 은천로 118 5층
연세다온치과의원,02-878-2834,서울 관악구 남부순환로 1925 호전클리닉스타워 5층
명문치과의원,02-873-7203,서울 관악구 신림로 321
바른치과의원,02-883-2804,서울 관악구 남부순환로 1926 경동제약빌딩 2층
현치과의원,02-885-2833,서울 관악구 호암로 602 도원빌딩 3층
연세참소망치과,02-888-2872,서울 관악구 봉천로 227 보라매샤르망 3층 302호
아트치과의원,02-886-1700,서울 관악구 신림로 366 정림빌딩 3층
사랑니에진심치과의원,0502-5551-0496,서울 관악구 남부순환로 1637 4층
서울안치과의원,02-874-4868,서울 관악구 신림로 108 2층
연세에이플러스치과의원,02-888-7976,서울 관악구 남부순환로 1808 센츄리빌딩 4층 405호
삼성사랑니졸업치과의원,02-2138-2802,서울 관악구 남부순환로 1812 4층
혜정치과의원,02-889-2228,서울 관악구 남부순환로 1741 3층
이그린치과의원,02-3471-7528,서울 관악구 남부순환로 2068 르메이에르빌딩 201호
서울누가치과의원,02-888-5868,서울 관악구 관악로 230 3층
연세세브란스치과의원,02-6405-2119,서울 관악구 남부순환로 1735 2-3층
건화치과의원,02-877-3237,서울 관악구 중앙1나길 3 2층
연세나눔치과의원,02-864-5252,서울 관악구 난우길 10 8층
바르다권치과의원,02-1661-2878,서울 관악구 조원로 24 신원빌딩 2층
스마일치과의원,02-871-2870,서울 관악구 남부순환로 1838 CS타워 4층
관악더드림치과의원,02-852-2871,서울 관악구 남부순환로 1369 4층
풀잎치과의원,02-6949-2275,서울 관악구 인헌길 17 대성빌딩 3층
왕플란트치과 관악점,1670-7528,서울 관악구 남부순환로 1814 대연빌딩 5층
난곡서울미소치과의원,02-856-7522,서울 관악구 난우길 8 2층
이혁치과,02-886-8860,서울 관악구 신림로 137
서울성심치과의원,02-2088-2283,서울 관악구 난곡로 367 경신빌딩 3층 303호
신림올바른치과의원,02-885-2828,서울 관악구 신림로 312 3층
서울화인치과의원,02-888-4643,서울 관악구 신림로 105 4층
서울본치과,02-877-1007,서울 관악구 관악로 195 관악위버폴리스 B동 3층 316호
미래치과의원,02-879-0028,서울 관악구 은천로 105
강남고려치과의원,02-6403-2876,서울 관악구 관악로 242 2층
은혜치과,02-872-2825,서울 관악구 양녕로 50 4층
리더스치과의원,02-872-2226,서울 관악구 관악로 201 2층
이근형치과의원,02-888-7522,서울 관악구 봉천로 616
미드미치과의원,02-883-2875,서울 관악구 신림로 350 서원프라자 4층
153치과의원,02-3285-7528,서울 관악구 남부순환로 1852 4층
관악웰치과의원,02-882-7528,서울 관악구 신림로 135 육일빌딩 3층 301호
토론토사랑치과의원,02-886-2275,서울 관악구 관악로 306 현대상가 2동 2층 202호
김&안치과의원,02-886-6669,서울 관악구 호암로 605
연세미래치과,02-881-8250,"서울 관악구 신림로 330 타임스트림 6층 604,605호"
마리아쥬니어치과의원,02-871-2811,서울 관악구 봉천로 576 동아타운아파트 2층 201호
진치과의원,02-859-4752,서울 관악구 난곡로 263 2층
연세해맑은치과의원 관악,02-886-2804,서울 관악구 남부순환로 1811 신원메트로빌 2층 202호
미인플란트치과,02-838-3055,서울 관악구 난곡로 234
김태경치과의원,02-882-7427,서울 관악구 은천로 37 정암빌딩 5층
데오플란트치과의원,02-3281-7528,서울 관악구 시흥대로 576 4층
관악이안치과의원,02-875-2801,서울 관악구 은천로 23 2층
예솔치과의원,02-875-1812,서울 관악구 남부순환로 1944 3층
미소안치과의원,02-855-2811,서울 관악구 난곡로 360 역전빌딩 3층
오케이치과,02-868-0038,"서울 관악구 난곡로 53 2,3층"
나비화이트치과의원,02-885-3556,서울 관악구 남부순환로 1840 계림빌딩 3층
서울드림치과의원,02-865-2877,서울 관악구 남부순환로 1434 한미빌딩 3층
제이앤제이치과의원,02-875-2875,서울 관악구 남부순환로 1718
스마일라인치과,02-866-7528,서울 관악구 남부순환로 1599-3
뉴욕치과의원,02-889-2807,서울 관악구 신림로 113 2층
방패치과의원,02-524-1713,서울 관악구 과천대로 851 2층
관악서울치과의원,02-878-9073,서울 관악구 쑥고개로 54
한솔치과의원,02-885-9375,서울 관악구 청림6길 3 관악푸르지오1단지아파트 상가 201호
김성중치과,02-882-2288,서울 관악구 관악로 168
난곡으뜸치과의원,02-6278-2875,서울 관악구 난우길 2 프린스빌딩 2층 2호
이수백치과의원,02-877-9258,서울 관악구 관악로 219 더울림메트로타워 2층 201호
연세치과의원,02-887-4219,서울 관악구 관악로 205 스마일빌딩 6층
이재준치과의원,02-872-9075,서울 관악구 남부순환로 1601-1 3층
아이비치과의원,02-878-2804,서울 관악구 남부순환로 1952 5층
고은치과의원,02-887-7555,서울 관악구 호암로26길 1
치과제니스,02-862-2875,서울 관악구 신사로 104 혜성빌딩 2층
최유석치과의원,02-864-0780,서울 관악구 관천로 17 신림당약국 4층
오사랑치과의원,02-856-7528,서울 관악구 난곡로 176 2층
노벨치과의원,02-882-2754,서울 관악구 청림6길 3 관악푸르지오 상가 212호
이화이치과의원,02-883-2755,서울 관악구 관악로 195 관악위버폴리스 A동 4층 403호
밀레니엄치과의원,02-887-7528,서울 관악구 관악로 218 2층
이음턱편한치과의원,02-6745-2754,서울 관악구 은천로 169 1층
조용진치과,02-869-7708,서울 관악구 신사로 102
연세패밀리치과의원,02-884-2875,서울 관악구 관악로 248 벽송빌딩 5층
E라움치과의원,02-3474-2891,서울 관악구 과천대로 947 사당타워 3층
관악LA치과의원,02-871-2825,서울 관악구 양녕로 46 메카플러스 4층
신일치과의원,02-583-5018,서울 관악구 남현4길 1 201호
푸른치과의원,02-871-6155,서울 관악구 은천로 35
뿌리샘치과의원,02-887-2332,서울 관악구 남부순환로 1733 정민빌딩 4층
박영섭치과의원,02-865-2020,서울 관악구 조원로 128
클린치과의원,02-858-5228,서울 관악구 남부순환로161길 70 4층
한사랑치과,02-873-3170,서울 관악구 은천로25길 69 삼성프라자 2층
치과의정석치과의원,02-3473-2828,서울 관악구 과천대로 939 르메이에르강남타운2 406~408호
문현치과의원,02-863-3244,서울 관악구 남부순환로 1474 3층
서울최치과의원,02-863-5018,서울 관악구 조원로 134
스마일덴치과의원,02-875-3399,서울 관악구 청룡길 48 5층
이레치과의원,02-885-2879,서울 관악구 인헌길 35 영빌딩 3층
세이브치과의원,02-855-2855,서울 관악구 난곡로 214 금정빌딩 4층
선앤민치과의원,02-826-7528,서울 관악구 봉천로 391 두산아파트 상가 3층 313~315호
비앤이치과의원,02-895-2804,서울 관악구 관악로 200 4층 401~402호
산치과의원,02-853-2275,서울 관악구 난곡로 359 2층
이앤치과의원,02-883-2879,서울 관악구 관악로30길 12 봉천우성아파트 상가동 310호
서울CL치과의원 보라매점,02-887-2275,서울 관악구 봉천로 212 희성빌딩 5층
따뜻한인치과의원 서울대입구점,02-874-2804,서울 관악구 관악로 144 우남빌딩 303호
더봄치과의원,02-876-2826,서울 관악구 관악로 287 3층 309호
보람치과의원,02-878-3503,서울 관악구 신림로 152 112-37 동방빌딩 2층
신종렬치과,02-854-1006,서울 관악구 난곡로 85
다니엘치과,02-883-4221,서울 관악구 쑥고개로 86 초광빌딩 4층
이맑은치과의원,02-878-2888,서울 관악구 신림로 344 SK허브그린 3층 309호
홍성철치과의원,02-876-7528,서울 관악구 보라매로 12 3층
이(e)-행복한치과의원,02-877-2275,서울 관악구 은천로25길 69
하얀치과의원,02-882-8275,서울 관악구 관악로 236 3층
