상호명,전화번호,주소,평점,리뷰수,홈페이지
아이백안과의원,053-763-1100,대구 중구 동덕로 106-4 1-4층,,0,http://www.eye100.co.kr
한빛안과,053-423-2367,대구 중구 달구벌대로 2109 교원빌딩 3층,3.5,0,http://www.eyeok.co.kr
해맑은안과의원,053-431-6688,대구 중구 국채보상로 598 정호빌딩 4층,5.0,0,#none
안견안과의원,053-766-8875,대구 수성구 청수로 156 3-4층,4.3,0,http://www.akeye.co.kr
서울새론안과의원,053-719-2580,대구 중구 달구벌대로 2207 2~5층,3.7,0,http://saeroneye.co.kr/
아이케어안과,053-322-5050,대구 북구 팔거천동로 213 2층,4.6,0,http://eyecareofficial.co.kr/
칠곡대구안과의원,053-358-7575,대구 북구 학정로 50 올리브빌딩 3층,3.4,0,#none
이노안과의원,053-632-6800,대구 달서구 월곡로 260 상인프라자 5층,3.6,0,http://www.innoeye.co.kr
로운안과의원,053-634-8575,대구 달서구 월곡로 260 상인프라자 3층,4.1,0,#none
죽전안과의원,053-523-8575,대구 달서구 달구벌대로 1653 4층,3.8,0,http://www.jjeyes.com
성서제일안과,053-591-8100,대구 달서구 이곡공원로 24 2층,3.7,0,#none
심안과의원,053-635-3600,대구 달서구 월배로 218 록스빌딩 6-7층,2.1,0,http://www.simeye.co.kr
가톨릭연합안과의원,053-792-1200,대구 수성구 달구벌대로 3210,4.4,0,http://가톨릭연합안과.com
월배이노안과의원,053-635-6800,대구 달서구 월배로 100 2층,4.2,0,#none
아이온안과의원,053-285-0130,대구 북구 팔달로 225 2층,4.4,0,http://www.eyeoneye.co.kr
아이백안과의원,053-763-1100,대구 중구 동덕로 106-4 1-4층,,0,http://www.eye100.co.kr
한빛안과,053-423-2367,대구 중구 달구벌대로 2109 교원빌딩 3층,3.5,0,http://www.eyeok.co.kr
해맑은안과의원,053-431-6688,대구 중구 국채보상로 598 정호빌딩 4층,5.0,0,#none
안견안과의원,053-766-8875,대구 수성구 청수로 156 3-4층,4.3,0,http://www.akeye.co.kr
서울새론안과의원,053-719-2580,대구 중구 달구벌대로 2207 2~5층,3.7,0,http://saeroneye.co.kr/
아이케어안과,053-322-5050,대구 북구 팔거천동로 213 2층,4.6,0,http://eyecareofficial.co.kr/
칠곡대구안과의원,053-358-7575,대구 북구 학정로 50 올리브빌딩 3층,3.4,0,#none
이노안과의원,053-632-6800,대구 달서구 월곡로 260 상인프라자 5층,3.6,0,http://www.innoeye.co.kr
로운안과의원,053-634-8575,대구 달서구 월곡로 260 상인프라자 3층,4.1,0,#none
죽전안과의원,053-523-8575,대구 달서구 달구벌대로 1653 4층,3.8,0,http://www.jjeyes.com
성서제일안과,053-591-8100,대구 달서구 이곡공원로 24 2층,3.7,0,#none
심안과의원,053-635-3600,대구 달서구 월배로 218 록스빌딩 6-7층,2.1,0,http://www.simeye.co.kr
가톨릭연합안과의원,053-792-1200,대구 수성구 달구벌대로 3210,4.4,0,http://가톨릭연합안과.com
월배이노안과의원,053-635-6800,대구 달서구 월배로 100 2층,4.2,0,#none
아이온안과의원,053-285-0130,대구 북구 팔달로 225 2층,4.4,0,http://www.eyeoneye.co.kr
봄이오는안과의원,053-614-7778,대구 달성군 유가읍 테크노상업로 98 비슬타워 5층 501호,4.2,0,#none
난초꽃피다안과의원,053-254-0975,대구 중구 달구벌대로 2127 S타워 7층,,0,https://난초꽃피다안과.kr
더퍼스트안과의원,053-716-0520,대구 수성구 달구벌대로 2557-1 JJ빌딩 4층,0.0,0,https://blog.naver.com/alivehj77
청라빛안과의원,053-424-2020,대구 중구 달구벌대로 2012 5-6층,3.4,0,https://cheongnabit.com/
조은안과,053-635-0700,"대구 달서구 조암로 1 미래타워 6층 601,602호",,0,http://www.goodeye.kr
연세제일연합안과의원,053-592-0103,대구 달성군 다사읍 달구벌대로 866 C&B타워 4층 401~402호,,0,https://yj-eye.com/
경대연합안과,053-636-8875,대구 달서구 월배로 233 6층,3.8,0,http://www.kdeye.com
밝은눈안과의원,053-654-9660,대구 달서구 달구벌대로 1738 2층,3.7,0,#none
삼성안과,053-426-9064,대구 중구 공평로 20,2.0,0,https://www.samsungeye.co.kr
굿모닝안과의원,053-257-7942,대구 중구 중앙대로 359 반월당메디컬오피스타워 4층,4.0,0,http://www.lasik-lasek.com/
서대구안과의원,053-551-8275,대구 서구 국채보상로 258,1.7,0,#none
난초꽃피다임앤오안과의원,053-795-7585,대구 수성구 달구벌대로 3205 동호빌딩 4-5층,1.7,0,#none
가톨릭연합안과의원,053-626-3777,대구 남구 월배로 482 4층,5.0,0,#none
파티마 안과,053-627-8522,대구 남구 성당로 204,3.7,0,#none
잘봄안과의원,053-641-0111,대구 달서구 조암로 5 수메디컬빌딩 6층 602~603호,3.5,0,https://www.잘봄안과.com
윤영팔안과의원,053-321-3880,대구 북구 칠곡중앙대로 389,4.7,0,#none
우리눈안과의원,053-283-8275,대구 동구 안심로 366 3층,4.0,0,#none
한덕기안과의원,053-475-2226,대구 남구 중앙대로 240 4층,2.7,0,#none
푸른성모안과의원,053-593-8216,대구 달성군 다사읍 달구벌대로 875 MA프라자 202호,3.8,0,#none
새빛안과의원,053-322-1901,대구 북구 칠곡중앙대로 411 3층,1.1,0,#none
보라빛안과의원,053-287-1001,대구 수성구 달구벌대로 2599 만촌역 태왕디아너스 에비뉴상가 301동 8층 801호,4.8,0,http://m.blog.naver.com/webjb0308
프라임안과의원,053-422-5454,대구 중구 달구벌대로 1999 2층,3.2,0,#none
신세계안과의원,053-742-5577,대구 수성구 동대구로 311 범어애플타워 7층,3.0,0,http://amarislasik.co.kr
더블유안과의원,053-633-0123,대구 달서구 월배로 219 센트로타워 3층 302호,4.7,0,http://www.weye.co.kr/
영대연합안과의원,053-356-1030,대구 북구 침산남로 154,4.0,0,#none
맑은안과,053-984-1002,대구 동구 동촌로 217 2층,2.8,0,#none
눈사랑안과의원,053-759-8200,대구 수성구 화랑로 50 3층,2.1,0,#none
김안과의원,053-984-8875,대구 동구 아양로 51 1층,3.5,0,http://blog.naver.com/kimseyeclinic
이안과의원,053-958-3239,대구 동구 아양로 178 3층,2.7,0,#none
범어안과,053-745-6606,대구 수성구 달구벌대로 2401 4층,4.5,0,#none
화원삼성안과의원,053-635-8700,대구 달성군 화원읍 비슬로 2597 5층,3.6,0,#none
VOM봄안과의원,053-963-9991,대구 동구 안심로 58 율하메디빌 3층,2.0,0,http://vomeye.co.kr/
평화안과의원,053-353-8875,대구 서구 팔달로 188 2층,4.4,0,#none
가톨릭정충일안과,053-322-7525,대구 북구 학정로 431,2.8,0,#none
