상호명,전화번호,주소,평점,리뷰수,홈페이지
경북대학교치과병원,053-600-7114,대구 중구 달구벌대로 2175,2.1,0,#none
로이스덕영치과병원,053-256-2145,대구 중구 국채보상로 511 로이스덕영치과병원,,0,https://roycedental-dukyoung.com/
미르치과병원,053-212-1000,대구 중구 공평로 12 1층,,0,#none
아이큰숲치과의원,053-759-1275,대구 수성구 달구벌대로 2273 수성메디칼센터 6층,4.9,0,http://www.kidstree.co.kr
복현라온치과의원,053-941-2875,대구 북구 동북로 206 A동 6층,4.3,0,https://bhraondental.co.kr/
대구퍼스트치과의원,053-427-8822,"대구 중구 중앙대로 359 반월메디컬타워 3,12층",4.5,0,http://www.dgfirst.co.kr
제우스치과의원,053-710-2870,대구 중구 중앙대로 403 3층,,0,https://zeusdental.co.kr/
대구중앙로센텀치과의원,053-653-2875,대구 중구 중앙대로 412 아카데미시네마 2층,4.2,0,http://dg-cplant.com/
뉴욕치과의원,053-252-0500,대구 동구 동대구로 415 3-5층,5.0,0,https://www.nydental.kr/
서울바른플란트치과,053-632-0202,대구 달서구 조암로 25 그루타워 3층 302호,4.6,0,http://sbrplant.co.kr
굿티스치과의원,053-712-9999,"대구 수성구 달구벌대로 2319-8 스마트스퀘어 4,5,6층",,0,https://www.goodtis.com
대구킹플란트치과의원,0507-1419-2804,대구 달서구 달구벌대로 1663,,0,http://dgkingplant.com/html/main/intro.html
명진치과,053-253-0121,대구 중구 중앙대로 354 1-5층,3.4,0,http://www.mjdental.co.kr/
서울S치과,053-477-7575,대구 달서구 조암로 4 그루메디컬빌딩 5층,4.2,0,http://ssdent.co.kr
이미지치과의원 대구점,1899-8175,대구 달서구 조암로 16 4층,4.9,0,https://www.imagedc.co.kr/
수성사랑니치과,053-752-7528,대구 수성구 명덕로 377 2층,4.1,0,http://sswisdomdental.co.kr/
제로치과병원,053-642-2200,대구 달서구 조암로 5 월성수메디컬빌딩 5층 501~503호,5.0,0,http://zerodh.co.kr/
열린구강내과치과의원,053-255-7575,대구 중구 달구벌대로 2149 반월타워 11층,4.8,0,http://www.opentmj.com
서부라온치과병원,053-629-1900,대구 달서구 성당로 5 1-4층,1.8,0,http://sraon.com
대구365치과의원,053-357-0365,대구 북구 침산로 148 엠브로스퀘어 7층 702~706호,0.0,0,https://naver.me/50JtXuRL
올바른치과교정과치과의원,053-425-2885,대구 중구 달구벌대로 2135 2층,5.0,0,http://www.all-bareun.com
올디플란트치과의원,053-247-2828,대구 북구 동북로 289 5층 (구. 축협사거리 다이소 맞은편 5층),4.0,0,https://alldplant.com
55플란트치과의원,053-654-0055,"대구 남구 대명로 6 6,7층",5.0,0,http://www.55plant.co.kr/
유디치과의원 대구범어점,053-741-4330,대구 수성구 동원로 2 수성엠비션타워 3층,,0,http://www.udh.co.kr
다니엘치과의원,053-314-2275,대구 북구 동천로24길 3 3층,,0,#none
안심플란트치과의원,053-962-2888,대구 동구 경안로 728 2층 202호,5.0,0,http://ansimplant.com/
사공억치과의원,053-754-7533,대구 동구 효신로 27,5.0,0,#none
FM치과병원,053-560-1000,대구 달서구 달구벌대로 1565,,0,http://www.fmdental.co.kr
편한구강내과치과의원,053-257-8877,대구 중구 명륜로23길 106 반월당클래시아2차 5층 501호,4.2,0,https://www.pyunhan-tmj.com
톡톡사랑니치과의원,053-425-2804,"대구 중구 중앙대로 390 센트럴엠 4층 402, 403호",4.9,0,https://톡톡사랑니.com
라온치과병원 범어,053-254-0000,"대구 수성구 동대구로 312 범어림스타워 8-9,11층",,0,http://raondent.kr/
램브란트치과 상인점,053-643-2875,대구 달서구 월배로 175 우리빌딩 6층,4.6,0,http://lamplant2875.com
톡톡구강내과치과의원,053-762-7755,대구 수성구 달구벌대로 2284 8층,3.1,0,https://blog.naver.com/dgtoktalk
일곱가지약속치과의원,053-639-2828,대구 달서구 월배로 219 센트로타워 5층 504호,4.6,0,http://7promise.co.kr
스마트치과의원 죽전점,053-712-9900,대구 달서구 달구벌대로 1551 죽전역골든타워 4층 407~411호,4.9,0,http://smartjj.kr
신세계치과의원,053-593-2875,대구 달서구 이곡동로 23 타임스퀘어 301호,5.0,0,http://www.ssgdentalclinic.com/
이심당치과의원,053-422-1000,대구 중구 달구벌대로 2012 7-8층,5.0,0,#none
해와달연합치과의원,053-252-2275,대구 중구 동덕로 66-1 2-5층,4.0,0,#none
엠치과 신암점,053-951-0015,"대구 동구 아양로 49 동가빌딩 2,3층",3.0,0,#none
비에스치과 교정과치과의원,053-422-7528,대구 중구 중앙대로 359 14-15층,,0,https://wayofguy.wixsite.com/mjbs
용산S치과의원,053-522-2828,"대구 달서구 달구벌대로 1521 7,8층",5.0,0,https://blog.naver.com/yongsansdental
서울니어치과의원,053-213-2804,대구 중구 달구벌대로 2095 반달스퀘어 4층,2.0,0,https://neardent053.com
스마트치과의원 월성점,053-712-9990,"대구 달서구 조암로 29 이래타워 3층 306,307호",5.0,0,http://www.smart-d.co.kr
라온치과병원,053-634-0000,대구 달서구 월배로 206 2~6층,1.0,0,http://si.raondent.co.kr
늘곁에 구강내과치과의원,053-719-3232,대구 달서구 월배로 137 5층,4.5,0,http://www.tmjsleepkorea.com
엠치과 시지점,053-792-0035,대구 수성구 달구벌대로 3188 아레나스포츠 3층,4.0,0,https://blog.naver.com/tiger2301
아이샘치과의원,053-314-1275,대구 북구 팔거천동로 217 태영빌딩 2층,5.0,0,http://www.isemdent.com
로이스치과의원,053-759-2828,대구 수성구 달구벌대로 2263 삼정빌딩 4-5층,4.0,0,https://roycedental-daegu.com
고른이치과의원,053-322-4321,대구 북구 구암로 135 중앙빌딩 5층 고른이치과의원,3.0,0,#none
배세복치과교정과치과의원,053-426-6916,대구 중구 중앙대로 360,2.7,0,http://www.baedent.com/
차앤백구강악안면외과치과의원,053-424-4100,대구 중구 국채보상로 630 메트로타워 3층,4.1,0,https://blog.naver.com/chaomfs
밝은결치과의원,053-716-2785,대구 달서구 장기로 217 4층,2.5,0,http://www.brgyeol.com
리즈치과의원,053-255-2804,대구 중구 동성로1길 81 6~8층,4.0,0,http://www.beautijaw.co.kr/
황금라인치과의원,0503-7153-9989,대구 수성구 청수로 135 2층,5.0,0,http://www.goldline59dent.com
유디치과의원 대구역점,053-255-0002,대구 중구 태평로 160 대우빌딩 9층,5.0,0,http://www.udh.co.kr
친절한홍치과,053-719-0003,대구 달성군 다사읍 서재로7길 6 2층,4.2,0,http://www.친절한홍치과.com/
마음으로치과의원 동성로,053-424-2275,대구 중구 공평로 16 4층,5.0,0,http://www.h2hdental.com/
제니스치과의원,053-742-2875,대구 동구 동대구로 413 6층,4.6,0,#none
유디성서치과의원,053-586-3607,대구 달서구 이곡공원로 12 신아빌딩 2층,,0,http://www.udh.co.kr
불꽃치과의원,053-622-7528,대구 달서구 달구벌대로 1710 3층,3.8,0,http://flamedental.co.kr
라온치과의원,053-311-1000,대구 북구 칠곡중앙대로 431 2~3층,3.0,0,#none
아이사랑치과,053-581-2879,대구 달서구 계대동문로 126 3층,5.0,0,#none
에스프라임치과의원 광장점,053-421-0001,대구 달서구 달구벌대로 1706 6층,4.0,0,https://www.s-primeclinic.com/
유앤미치과의원,053-428-2882,대구 중구 중앙대로 352,3.6,0,https://www.younme.co.kr
이레불꽃치과의원,053-622-5772,대구 달서구 달구벌대로 1710 4층,5.0,0,https://blog.naver.com/flame5772
두류사랑니치과의원,053-556-2875,대구 서구 달구벌대로 1739 6층,5.0,0,#none
더엠디 치주과 치과의원,053-768-2275,대구 수성구 청수로26길 46 501호,0.0,0,#none
바로치과의원,053-957-8585,대구 북구 동북로 244 601~603호,4.6,0,#none
편안수치과의원,053-641-0220,대구 달서구 월배로 168 아보스타워 2층 202호,5.0,0,https://blog.naver.com/bonadenti822/
곽치과병원,053-654-3447,대구 달서구 구마로 265 미래빌딩 5층,3.2,0,http://kwakdental.com
바른우리치과의원,053-325-7775,"대구 북구 칠곡중앙대로 295 1,2층",4.0,0,#none
시지FM치과병원,053-720-5000,대구 수성구 달구벌대로 3266,5.0,0,#none
제우스치과의원 대구서부,053-710-2890,대구 달서구 구마로 256 3층,,0,http://www.seobu.zeusdental.co.kr/
범어5층치과의원,053-743-0555,대구 수성구 달구벌대로 2442 아우름타워 5층 (올리브영 범어역점 건물 5층),5.0,0,http://www.5fdental.com
포유치과의원,053-656-2880,대구 남구 대명로 64,1.8,0,#none
이노치과의원,053-782-2822,대구 수성구 청수로 196 3층,5.0,0,#none
백상흠구강악안면외과치과의원,053-710-2820,대구 수성구 달구벌대로 2599 메디컬타워 301동 11층 1101호,5.0,0,http://www.bshoms.com
소중한이치과의원,053-759-5558,대구 수성구 화랑로 68 이주빌딩 3층,4.8,0,#none
미치과교정과 치과의원,053-256-2888,대구 중구 달구벌대로 2230,0.0,0,http://www.midentalclinic.co.kr
꿈을심는 연합치과의원,053-625-2880,대구 남구 대명로 128,5.0,0,#none
내이치과병원,053-423-3500,대구 중구 대봉로 267,0.0,0,#none
행복을심는치과의원,053-323-2875,대구 북구 대천로 93 덕영빌딩 3층,3.6,0,http://blog.naver.com/northhappy
이룸연합치과의원,053-710-2275,대구 달성군 구지면 과학마을로 46 석촌빌딩 3층 301호,4.7,0,#none
수성뉴플란트치과의원,053-745-7575,대구 수성구 달구벌대로 2397 7층,1.0,0,https://suseongnewplant.com/
두류플란트치과,053-624-2875,대구 서구 달구벌대로 1747 3층,5.0,0,https://duryuplant.com
지산치과의원,053-782-0022,대구 수성구 용학로 178,4.2,0,http://www.jisandental.co.kr/
잘가요사랑니치과의원,053-719-3252,대구 중구 달구벌대로 2094,5.0,0,#none
킴스치과의원,053-753-2875,대구 수성구 청수로 168 2층,4.2,0,http://www.kimsdental.co.kr/
김태완아이봄치과의원,053-358-7528,대구 북구 침산남로 134,5.0,0,#none
조은에스치과의원,053-571-0071,대구 달서구 죽전길 153 2층,2.0,0,#none
드림에스치과의원,053-944-2288,대구 동구 동대구로 590 301동 201~203호,5.0,0,http://www.dreamsdental.co.kr
용산미치과의원,053-523-2833,대구 달서구 용산로 232,3.0,0,#none
서울수려한치과의원,053-215-2828,대구 수성구 달구벌대로 2392 호명빌딩 2층,0.0,0,#none
수성더원치과의원,053-716-2804,대구 수성구 수성로 218 3층,4.3,0,https://www.theonedental.kr/
대구본플란트치과의원,053-269-2828,대구 달서구 용산로 220 4층,0.0,0,http://dg-bonplant.kr
라온미소치과의원,053-254-8406,대구 수성구 동대구로 312 범어림스타워 6층,4.0,0,http://raonsmile.co.kr/
