상호명,전화번호,주소,평점,리뷰수,홈페이지
하루플란트치과의원,02-534-2875,서울 서초구 강남대로 411 DS타워 6-10층,,0,http://haruplant.co.kr/
고르다치과의원 강남점,02-557-7520,서울 서초구 강남대로69길 10 서호빌딩 8-9층,4.6,0,http://www.goruda.co.kr
연세굿데이치과의원 양재점,02-574-2279,서울 서초구 강남대로 206 엔스빌딩 5-6층,4.5,0,https://www.gooddaysmile.com/
더뉴치과의원,02-6204-2879,"서울 서초구 강남대로 567 단독사옥 (1층 보철과, 2층 교정과)",4.2,0,http://www.thenewdent.com
블랑쉬치과의원,1877-2882,서울 서초구 강남대로 531 7층,,0,https://blanche.kr/?utm_source=KAKAO&utm_medium=KAKAOMAP&utm_campaign=ORGANIC&utm_term=Home
강남루덴치과의원,02-2051-2875,서울 서초구 서초대로77길 24 지웰타워2 7층 701~702호,4.9,0,https://gangnamluden.co.kr
루센트치과의원,1833-2874,서울 서초구 사평대로 368 듀오 신논현 3-4층,4.3,0,https://www.youtube.com/@teethbenefit
젊어지는치과의원 강남역,02-3482-2828,"서울 서초구 강남대로 405 통영빌딩 5, 9, 12층",,0,http://www.dentalsalon.co.kr
강남레옹치과의원,02-535-2119,서울 서초구 강남대로 415 대동빌딩 4층,4.5,0,https://www.gangnamdental.co.kr
강남애프터치과의원,02-596-2082,서울 서초구 강남대로 441 서산빌딩 11층,4.9,0,http://afterdental.co.kr/
서울탑치과병원,02-588-2833,서울 서초구 효령로 261-1,4.5,0,http://topimplant.co.kr
양지바른치과의원,02-581-2273,서울 서초구 방배로 118 5-6층,4.0,0,http://www.yangjident.com/
르블랑치과의원,02-3444-2080,서울 서초구 강남대로 519 도충빌딩 2층 01호,,0,http://le-blanc.kr/
서울리마치과,02-582-7799,서울 서초구 서초대로 396 강남빌딩 8층,,0,https://www.reema.co.kr/index_main.jsp
화이트드림치과의원 강남,02-558-2879,서울 서초구 서초대로77길 17 BLOCK77 5층 1~4호,,0,https://wdreamdc.com/
가야치과병원,02-599-2472,서울 서초구 방배로 177 레마빌딩 4-6층,3.4,0,http://www.kayadent.co.kr
예미안치과,02-521-2751,서울 서초구 서초대로 280 태양빌딩 2층,3.6,0,http://www.yemians.co.kr
서울이수플란트치과의원,02-3477-2875,서울 서초구 도구로 95,4.3,0,http://www.sisooplant.com/
내인생치과의원,02-521-2879,서울 서초구 반포대로30길 82 2층 201호,4.8,0,https://m.blog.naver.com/mylife2879
페리오치과의원,02-571-2875,서울 서초구 잠원로4길 50 메이플 자이 동관 1동 5층 503~504호,3.6,0,https://blog.naver.com/philoperio
티유치과의원,02-598-8896,서울 서초구 서초대로77길 54 서초W타워 12-13층,5.0,0,http://www.tudentalse.com
MCG치과,02-3477-0014,서울 서초구 서초중앙로 166 서원빌딩 7층,4.7,0,http://www.mcgsmile.com
서울센텀치과의원 신사역,02-543-9285,서울 서초구 강남대로 621 K타워 6층,4.0,0,https://naver.me/GWe2OZTM
맥스구강악안면외과치과의원,02-6243-2880,서울 서초구 강남대로 407 오퍼스407빌딩 5층,,0,http://macs.co.kr
미니쉬치과의원,1661-2854,서울 서초구 사평대로 373 2층,5.0,0,https://gnminish.com/
뉴엔치과의원,02-534-2755,서울 서초구 강남대로 405 통영빌딩 3층,,0,http://www.newndental.com
사과나무치과의원,02-585-2879,서울 서초구 사임당로 175 갤럭시타워 2층 201호,3.8,0,https://www.dentapple.com
미유치과의원,02-6324-1212,서울 서초구 강남대로 439 유화빌딩 13층,,0,http://www.mieuxdental.kr
서울하이안치과의원 방배지점,02-522-2288,서울 서초구 효령로 120 3층,5.0,0,http://highan.com/bangbae
