상호명,전화번호,주소,평점,리뷰수,홈페이지
남서울치과,031-748-7028,경기 성남시 수정구 산성대로 433,5.0,0,#none
예림치과의원,031-718-5886,경기 성남시 분당구 느티로77번길 3 3층 301호,4.8,0,#none
21세기치과의원,031-708-0021,경기 성남시 분당구 돌마로 482 주영빌딩 3층,,0,http://21dent.co.kr
분당어린이치과의원,031-716-5275,경기 성남시 분당구 장안로 27 스마트114빌딩 3층,4.3,0,http://www.smilechildren.com
트리플에이치과의원,031-711-7765,경기 성남시 분당구 성남대로331번길 8 킨스타워 3층 308호,4.4,0,#none
서울퍼펙트치과의원,031-606-2888,경기 성남시 분당구 성남대로916번길 5 관보빌딩쇼핑센터 2층 203호,4.7,0,http://seoulperfect.co.kr/
형치과병원,031-714-5000,경기 성남시 분당구 미금로 40 2층,3.0,0,http://www.hyoung.co.kr
서울사랑니안녕치과의원,031-701-8287,경기 성남시 분당구 성남대로 934 궁전프라자 제2동 302호,4.9,0,https://byesarange.com/
새로분당예치과병원,031-713-2828,경기 성남시 분당구 황새울로258번길 37 흥국생명빌딩 2층,5.0,0,#none
위례헤브론치과의원,031-753-7531,"경기 성남시 수정구 위례광장로 320 아이에스센트럴타워 4층 414, 415호",5.0,0,http://hebrondent.com
조웰구강내과치과의원,031-712-2275,"경기 성남시 분당구 돌마로 68 분당프라자 7층 701,701-1호",3.5,0,http://www.jawwell.com
위례서울치과병원,031-752-2700,경기 성남시 수정구 위례광장로 310 우성트램타워 B동 8층 801~804호,4.0,0,http://wsdh.co.kr
웰치과의원 성남,031-607-5528,경기 성남시 중원구 광명로 333 서광빌딩 4층,5.0,0,https://www.instagram.com/welldental_kiuk/
서울박사치과,031-747-2884,경기 성남시 수정구 수정로 326 3층 서울박사치과,,0,https://www.서울박사치과.kr
성심치과의원,031-747-4340,경기 성남시 수정구 산성대로 263 2-3층,4.6,0,http://www.sungshimdental.co.kr
남서울치과,031-748-7028,경기 성남시 수정구 산성대로 433,5.0,0,#none
예림치과의원,031-718-5886,경기 성남시 분당구 느티로77번길 3 3층 301호,4.8,0,#none
21세기치과의원,031-708-0021,경기 성남시 분당구 돌마로 482 주영빌딩 3층,,0,http://21dent.co.kr
분당어린이치과의원,031-716-5275,경기 성남시 분당구 장안로 27 스마트114빌딩 3층,4.3,0,http://www.smilechildren.com
트리플에이치과의원,031-711-7765,경기 성남시 분당구 성남대로331번길 8 킨스타워 3층 308호,4.4,0,#none
서울퍼펙트치과의원,031-606-2888,경기 성남시 분당구 성남대로916번길 5 관보빌딩쇼핑센터 2층 203호,4.7,0,http://seoulperfect.co.kr/
형치과병원,031-714-5000,경기 성남시 분당구 미금로 40 2층,3.0,0,http://www.hyoung.co.kr
서울사랑니안녕치과의원,031-701-8287,경기 성남시 분당구 성남대로 934 궁전프라자 제2동 302호,4.9,0,https://byesarange.com/
새로분당예치과병원,031-713-2828,경기 성남시 분당구 황새울로258번길 37 흥국생명빌딩 2층,5.0,0,#none
위례헤브론치과의원,031-753-7531,"경기 성남시 수정구 위례광장로 320 아이에스센트럴타워 4층 414, 415호",5.0,0,http://hebrondent.com
조웰구강내과치과의원,031-712-2275,"경기 성남시 분당구 돌마로 68 분당프라자 7층 701,701-1호",3.5,0,http://www.jawwell.com
위례서울치과병원,031-752-2700,경기 성남시 수정구 위례광장로 310 우성트램타워 B동 8층 801~804호,4.0,0,http://wsdh.co.kr
웰치과의원 성남,031-607-5528,경기 성남시 중원구 광명로 333 서광빌딩 4층,5.0,0,https://www.instagram.com/welldental_kiuk/
서울박사치과,031-747-2884,경기 성남시 수정구 수정로 326 3층 서울박사치과,,0,https://www.서울박사치과.kr
성심치과의원,031-747-4340,경기 성남시 수정구 산성대로 263 2-3층,4.6,0,http://www.sungshimdental.co.kr
한솔치과,031-757-7737,경기 성남시 수정구 탄리로 120,0.0,0,#none
연세으뜸치과의원,031-715-7528,경기 성남시 분당구 백현로101번길 25 수내프라자 2층,5.0,0,https://ys-top.co.kr
분당뉴욕치과의원,031-701-9944,"경기 성남시 분당구 서현로210번길 20 코코프라자 3층 302,304호",4.4,0,#none
서울리더스치과의원,031-8039-7928,경기 성남시 분당구 돌마로 67 금산젬월드 4층 404호,4.8,0,http://www.seoulleaders.or.kr
서울엘리트치과의원,031-701-7528,경기 성남시 분당구 돌마로 85 동양프라자 7층 702호,2.9,0,http://seoulelite.com/
진서울치과의원,031-717-0600,경기 성남시 분당구 백현로 105 로얄팰리스 하우스빌 2층 201호,,0,https://naver.me/FfMWwZm8
마음드림치과의원,031-705-2879,경기 성남시 분당구 성남대로 926 메트로빌딩 7층 703호,5.0,0,https://blog.naver.com/maumdream2
서울크리스탈치과의원,031-609-2882,경기 성남시 분당구 황새울로 340 서현빌딩 5층,4.3,0,http://seoulcrystaldental.co.kr
동산치과의원,031-756-7488,경기 성남시 수정구 수정로 194,0.0,0,#none
서울룬치과의원,031-697-8875,"경기 성남시 수정구 수정로 170 2,3층",,0,#none
위례365치과의원,031-755-0365,경기 성남시 수정구 위례광장로 310 우성트램타워 A동 4층 403~404호,,0,http://snu365.com/
프라임치과의원,031-622-1222,경기 성남시 분당구 야탑로81번길 10 아미고타워 311~312호,,0,http://www.dentopia.com
서울이산치과의원,031-8017-8228,"경기 성남시 분당구 판교로 375 메가스페이스1 403,404호",4.9,0,#none
연세미소치과의원,031-742-6926,경기 성남시 수정구 산성대로 491 2층,4.3,0,http://blog.naver.com/smileleedent
산성예스치과의원,031-747-2833,"경기 성남시 수정구 희망로 551 산성역자이푸르지오 3층 302,305호",5.0,0,https://blog.naver.com/snyes_
민치과의원,031-703-1340,경기 성남시 분당구 야탑로 245,5.0,0,#none
연세온탑치과의원,031-609-2828,경기 성남시 수정구 산성대로 265 2층,4.5,0,http://www.ysontop.com/
바른모양치과의원,031-8039-6543,경기 성남시 수정구 수정로 108 2-3층,5.0,0,http://www.bareunshape.co.kr/
서울하얀치과의원,031-718-2875,경기 성남시 분당구 성남대로 170 한국프라자 308호,4.2,0,#none
서울바로본치과의원,0502-5552-7756,경기 성남시 중원구 광명로 319 2층,5.0,0,http://서울바로본치과.kr/
