상호명,전화번호,주소,평점,리뷰수,홈페이지
뉴욕치과의원,032-467-2828,인천 남동구 용천로 70 동호프라자 6층,,0,https://newyorkdc.co.kr/
플란치과의원 인천검단점,032-564-7528,인천 서구 원당대로 1045 6층 601~607호,4.9,0,https://geomdanplan.co.kr/
22세기서울치과병원,032-858-2080,인천 연수구 컨벤시아대로 69 송도밀레니엄 4층 415호,3.4,0,http://www.22cdental.com/
알프스치과의원,032-545-3719,인천 계양구 오조산로 3 한미리빌딩 402호,4.7,0,http://www.alpsdent.co.kr/
연세고운미소치과의원 인천점,032-432-2000,인천 남동구 인하로 501 슈페리어빌딩 2층,4.3,0,http://www.misoincheon.com/
지디치과 인천간석점,032-428-2275,인천 미추홀구 주안로 226 더월드스테이트아파트상가 218호,3.7,0,#none
서울다함치과의원,032-710-2853,인천 미추홀구 독배로 423 2층 205~206호,5.0,0,http://seouldaham.com/
마니55플란트치과의원,032-261-2828,인천 강화군 강화읍 강화대로 456,5.0,0,#none
모든치과의원,032-816-6373,인천 연수구 용담로 147 2층,4.4,0,https://blog.naver.com/d8166373
연세미시간치과의원,032-562-7522,인천 서구 가정로 451 벨라미센텀시티 2차 5층 551~555호,,0,http://www.ysmcdental.com
디지털허브치과의원,032-875-7529,인천 미추홀구 미추홀대로 640 1-2층,5.0,0,http://blog.naver.com/goodmorningdt
백장현치과의원,032-719-7519,인천 연수구 첨단대로 40 에스파이브시티 B동 6층 603호,5.0,0,#none
부평유디치과의원,032-502-2822,인천 부평구 경원대로 1415 가나파라움 6층 604~606호,5.0,0,http://bpudh.co.kr
연수새움치과,032-231-5656,인천 연수구 먼우금로 189 소망빌딩 3층 309호,4.3,0,http://blog.naver.com/mrhur123
예스서울치과의원,032-752-9728,"인천 중구 영종대로 184 4층 402,403호",4.7,0,https://blog.naver.com/teamyesdent
뉴욕치과의원,032-467-2828,인천 남동구 용천로 70 동호프라자 6층,,0,https://newyorkdc.co.kr/
플란치과의원 인천검단점,032-564-7528,인천 서구 원당대로 1045 6층 601~607호,4.9,0,https://geomdanplan.co.kr/
22세기서울치과병원,032-858-2080,인천 연수구 컨벤시아대로 69 송도밀레니엄 4층 415호,3.4,0,http://www.22cdental.com/
알프스치과의원,032-545-3719,인천 계양구 오조산로 3 한미리빌딩 402호,4.7,0,http://www.alpsdent.co.kr/
연세고운미소치과의원 인천점,032-432-2000,인천 남동구 인하로 501 슈페리어빌딩 2층,4.3,0,http://www.misoincheon.com/
지디치과 인천간석점,032-428-2275,인천 미추홀구 주안로 226 더월드스테이트아파트상가 218호,3.7,0,#none
서울다함치과의원,032-710-2853,인천 미추홀구 독배로 423 2층 205~206호,5.0,0,http://seouldaham.com/
마니55플란트치과의원,032-261-2828,인천 강화군 강화읍 강화대로 456,5.0,0,#none
모든치과의원,032-816-6373,인천 연수구 용담로 147 2층,4.4,0,https://blog.naver.com/d8166373
연세미시간치과의원,032-562-7522,인천 서구 가정로 451 벨라미센텀시티 2차 5층 551~555호,,0,http://www.ysmcdental.com
디지털허브치과의원,032-875-7529,인천 미추홀구 미추홀대로 640 1-2층,5.0,0,http://blog.naver.com/goodmorningdt
백장현치과의원,032-719-7519,인천 연수구 첨단대로 40 에스파이브시티 B동 6층 603호,5.0,0,#none
부평유디치과의원,032-502-2822,인천 부평구 경원대로 1415 가나파라움 6층 604~606호,5.0,0,http://bpudh.co.kr
연수새움치과,032-231-5656,인천 연수구 먼우금로 189 소망빌딩 3층 309호,4.3,0,http://blog.naver.com/mrhur123
예스서울치과의원,032-752-9728,"인천 중구 영종대로 184 4층 402,403호",4.7,0,https://blog.naver.com/teamyesdent
서울트리니티치과,032-427-2080,인천 미추홀구 경인로 392 경인상가 1층,4.9,0,#none
서울하이탑치과의원,032-292-2828,"인천 부평구 아트센터로 32 2, 3층",5.0,0,http://seoulhtdent.com/main.html
큐프라임치과의원 인하점,032-883-2080,인천 중구 인항로 42 신영빌딩 3층,5.0,0,https://blog.naver.com/qprime
김동건바른치과의원,032-264-2875,인천 부평구 동암광장로 20 2층,4.2,0,https://kdgdental.co.kr/
계산센트럴치과,032-715-7532,인천 계양구 경명대로 1088 4층,5.0,0,https://www.gs-central.com
투명플러스치과의원,032-527-7528,인천 부평구 경원대로 1383 3-5층,4.7,0,https://blog.naver.com/kbas16c
부평우리치과의원 인천부평본점,032-529-2875,"인천 부평구 부평대로 16 에이플러스에셋빌딩 5, 7층",4.9,0,http://www.wooridental.net/
연세바로치과교정과치과의원 인천점,032-473-2222,인천 남동구 구월로 247 2층,,0,http://www.ysbaro.com
연세세브란스치과의원,032-512-7528,인천 부평구 광장로 28 SR노빌리안 7층 705~707호,5.0,0,https://www.yssvdent.com
한결치과의원,032-567-2873,"인천 서구 청라에메랄드로 78 딜라이트타워 3층 301,302호",5.0,0,#none
더365치과의원 인천,032-463-2879,인천 남동구 만수서로 62 3층,,0,http://www.the365-dental.com/sub/sub28.php
청라365클리어치과의원,032-564-2822,인천 서구 청라에메랄드로 94 백양청라빌딩 2층 204~206호,0.0,0,http://clear365.co.kr
부평주치과의원,032-710-1874,인천 부평구 세월천로 61 2층,5.0,0,https://bpjoodent.com/
서울스마트치과의원,032-258-2828,인천 연수구 첨단대로 40 에스파이브시티 B동 4층 403-405호,4.6,0,http://www.seoulsmartdc.com
연세손치과의원,032-505-2868,인천 부평구 마장로 438 2층,1.8,0,#none
화이트드림 치과의원 인천점,032-219-2880,인천 남동구 인하로489번길 4 맨하탄빌딩 8층,4.8,0,http://wdreamincheon.com/
우리치과의원,032-516-3006,인천 부평구 마장로 435,5.0,0,#none
스마일365치과의원,032-285-2828,인천 서구 검단로 485 2-3층,4.0,0,http://smile365dc.com/
강화본치과의원,032-237-2875,인천 강화군 강화읍 중앙로 9 부경빌딩 3층,4.0,0,#none
서울바온치과의원,032-868-2080,인천 미추홀구 석정로 392 나동호 2층 1~2호,4.7,0,https://www.sbdental.kr
동아치과병원,032-427-7575,인천 미추홀구 구월로 17 할렐루야빌딩 3층,5.0,0,http://www.dongadental.co.kr
간석정플란트치과의원,032-426-2282,인천 남동구 백범로 396 SM빌딩 2층,3.9,0,http://www.jungplant.com
연세제일치과의원,032-815-2275,인천 연수구 먼우금로 190 연수프라자 4층 404호,4.3,0,http://ysjeildent.co.kr
인천사랑니구강악안면외과치과의원,032-288-2275,인천 부평구 경원대로 1402 프라자빌딩 2층,,0,http://lovetooth28.com/
더라은치과 용현점,032-891-2875,"인천 미추홀구 토금중로40번길 11 4,5층",4.0,0,http://thelaun.com
서울더블유치과교정과치과의원,032-562-2080,인천 서구 이음대로 384 서영아너시티플러스 1동 217~224호,5.0,0,http://seoulwdent.co.kr
연세비전치과의원,032-521-2278,"인천 부평구 부평대로167번길 54 202호, 203호",4.3,0,#none
올에이치과의원,032-813-2275,인천 연수구 함박뫼로 70,4.0,0,http://blog.naver.com/all_adental
서울스마트치과의원,032-277-2875,인천 부평구 길주로647번길 4 프리엘림 3층 301호,,0,http://www.ssmartdc.com/
치유치과의원,032-472-2875,인천 남동구 인주대로 664 메인프라자2차 4층 403호,5.0,0,https://blog.naver.com/chiyudental
이사랑치과의원,032-861-2875,인천 미추홀구 인하로 253 2층 1호,4.8,0,#none
삼산건치과,032-511-2871,인천 부평구 체육관로 32 하이존프라자 301~302호,5.0,0,http://sskun.com/
365서울채움치과의원,032-512-2275,"인천 부평구 부흥로 351 부일프라자 4층(부평동, 두리식자재마트 건물)",4.9,0,https://seoulchaeum.com
하앤박치과의원,032-227-2275,인천 미추홀구 독배로317번길 23-1,5.0,0,https://blog.naver.com/hnpdental
